5617,江晓路(晓港湾)站	64,中村站 
5616,江夏西头大街站	64,中村站 
5615,江夏西头大街站	64,中村站 
5614,江夏锁厂站	64,中村站 
5613,江夏锁厂站	64,中村站 
5612,江夏牌坊总站	64,中村站 
5611,江夏九社站	64,中村站 
5610,江夏九社站	64,中村站 
5609,江夏大塘大街站	64,中村站 
5608,江夏大塘大街站	64,中村站 
5606,江夏北一路站	64,中村站 
5605,江夏北一路站	64,中村站 
5604,江夏北二路总站	64,中村站 
5387,回龙亭站	64,中村站 
5386,回龙亭站	64,中村站 
5249,黄登村总站	64,中村站 
5247,黄登村口站	64,中村站 
5239,黄村站	64,中村站 
5238,黄村站	64,中村站 
5237,黄村训练基地总站	64,中村站 
5233,黄村路西站	64,中村站 
5222,黄村村委站	64,中村站 
5220,黄村北路站	64,中村站 
6088,乐墩路口站	64,中村站 
6074,揽月路口站	64,中村站 
6073,来安四街站	64,中村站 
6072,来安四街站	64,中村站 
6071,来安三街站	64,中村站 
6070,来安三街站	64,中村站 
10343,永兴市场站	64,中村站 
10342,振兴村委站	64,中村站 
10341,民容路口站	64,中村站 
8195,凤尾村委站	64,中村站 
8176,欣荣路口站	64,中村站 
5195,黄陂社区总站	64,中村站 
5184,宦溪西路站	64,中村站 
5183,宦溪西路站	64,中村站 
5182,宦溪西路西站	64,中村站 
5181,宦溪西路西站	64,中村站 
5171,环镇路口站	64,中村站 
5166,环岭路总站	64,中村站 
5135,华师正门站	64,中村站 
5131,华师康大学院站	64,中村站 
5130,华师附中新世界学校站	64,中村站 
5123,华泉社区站	64,中村站 
5366,黄屋村站	64,中村站 
5365,黄田大道中站	64,中村站 
5364,黄田大道中站	64,中村站 
5363,黄田村站	64,中村站 
5362,黄田村站	64,中村站 
5361,黄田村委站	64,中村站 
5360,黄田村委站	64,中村站 
5335,黄沙总站②	64,中村站 
5295,黄埔客运站	64,中村站 
5294,黄埔客运站	64,中村站 
5279,黄麻小学站	64,中村站 
5278,黄麻小学站	64,中村站 
5274,黄麻村站	64,中村站 
5272,黄麻村口站	64,中村站 
5270,黄麻村经济合作社站	64,中村站 
5269,黄麻村经济合作社站	64,中村站 
5266,黄华路口站	64,中村站 
5265,黄华路	64,中村站 
5889,骏功路站	64,中村站 
5886,骏功路西站	64,中村站 
5885,骏达路中站	64,中村站 
5883,骏成路东站	64,中村站 
5882,骏成路东站	64,中村站 
5881,均田站	64,中村站 
5874,均和村站	64,中村站 
9921,大东门（中山三路）站	64,中村站 
6364,碑记街站	64,中村站 
5857,掬泉路站	64,中村站 
5852,旧围村口站	64,中村站 
5850,旧市场路口站	64,中村站 
5849,旧市场路口站	64,中村站 
3231,棠涌南街站	64,中村站 
4804,龙归(园夏村)总站	64,中村站 
4802,龙岗村站	64,中村站 
4801,龙岗村口站	64,中村站 
4780,六社社址站	64,中村站 
4718,蓼江村站	64,中村站 
4717,寮竹路站	64,中村站 
4716,寮竹路站	64,中村站 
4715,寮采中路站	64,中村站 
4714,寮采中路站	64,中村站 
4710,良田南路站	64,中村站 
4706,良田环村西站	64,中村站 
4702,良城三路站	64,中村站 
6027,科翔路(尖塔山路口)站	64,中村站 
6026,科翔路(尖塔山路口)站	64,中村站 
7748,新墩下基市场大街站	64,中村站 
4520,石溪东路站	64,中村站 
4493,石牌桥站	64,中村站 
4492,石牌桥站	64,中村站 
4455,石井潭村总站2	64,中村站 
4440,石化生活区站	64,中村站 
4437,石化路口站	64,中村站 
4436,石化路口站	64,中村站 
4435,石化厂站	64,中村站 
4433,石湖小学站	64,中村站 
4381,师大暨大站	64,中村站 
4380,师大暨大站	64,中村站 
4344,生活区总站	64,中村站 
9619,南岗西路口站	64,中村站 
9618,南岗西路口站	64,中村站 
4329,深井市场站	64,中村站 
4328,深井码头总站	64,中村站 
5095,华坑路站	64,中村站 
5077,华景新城站	64,中村站 
5076,华景新城站	64,中村站 
5069,华海街口站	64,中村站 
5068,华海街口站A	64,中村站 
5061,华工正门站	64,中村站 
5001,胡氏祠堂站	64,中村站 
5000,后滘西大街站	64,中村站 
4999,后滘西大街站	64,中村站 
4998,后滘大街总站	64,中村站 
4993,后滘村口站	64,中村站 
4992,后滘村口站	64,中村站 
4991,猴王庙站	64,中村站 
4985,洪村站	64,中村站 
4984,洪村站	64,中村站 
4979,宏明路中站	64,中村站 
4977,宏光路中站	64,中村站 
4974,宏光路站	64,中村站 
4957,红山站	64,中村站 
4956,红山站	64,中村站 
4935,横迳广场站	64,中村站 
6163,科华路站	64,中村站 
6147,夏良路(高桥路口)站	64,中村站 
10058,星岛环北路(螺旋二路路口)站	64,中村站 
10052,螺旋大道西站	64,中村站 
6948,杨屋村站	64,中村站 
9942,东平北路(横岗村口)站	64,中村站 
6406,长平村总站	64,中村站 
6069,来安二街站	64,中村站 
6068,来安二街站	64,中村站 
6066,葵蓬一队站	64,中村站 
6064,葵蓬小学站	64,中村站 
6062,葵蓬村委站	64,中村站 
10261,龙溪西路站	64,中村站 
7895,华峰路(红旗村)站	64,中村站 
7874,勒竹旧村站	64,中村站 
7872,东鹏大道总站	64,中村站 
7869,勒竹旧村站	64,中村站 
10223,蚌湖桥南站	64,中村站 
7802,中二横路东站	64,中村站 
7800,北三路南站	64,中村站 
7098,马洞村委	64,中村站 
6660,南村公园站	64,中村站 
6599,井岗村口站	64,中村站 
6210,水西路北站	64,中村站 
6209,水西路北站	64,中村站 
6208,八十一中学站	64,中村站 
6207,人人佳站	64,中村站 
6167,碑记街口站	64,中村站 
10130,香雪八路中站	64,中村站 
10120,红旗路南站	64,中村站 
10060,地铁官洲站总站	64,中村站 
10054,生物岛水墨园站	64,中村站 
1150,艺苑南路站	64,中村站 
3496,梅山工业区站	64,中村站 
3486,帽峰山(铜锣湾水库)总站	64,中村站 
3484,茅坦村站	64,中村站 
3481,茅岗站	64,中村站 
3480,茅岗站	64,中村站 
3431,萝岗中心小学站	64,中村站 
3403,萝峰村站	64,中村站 
3345,鹿步新路站	64,中村站 
3343,鹿步球场站	64,中村站 
3342,鹿步牌坊站	64,中村站 
3340,鹿步剧场站	64,中村站 
3338,鹿步大路站	64,中村站 
3336,鹿步大街站	64,中村站 
5466,吉山坑尾路口站	64,中村站 
5458,吉洞站	64,中村站 
5436,机电技工学校站	64,中村站 
5406,火村东站	64,中村站 
4614,水口坊站	64,中村站 
4609,水电二局站	64,中村站 
4605,双岗站	64,中村站 
4604,双岗站	64,中村站 
4603,双岗天桥站	64,中村站 
4602,双岗天桥站	64,中村站 
4567,市七十二中学站	64,中村站 
4560,市九十一中站	64,中村站 
4559,市九十一中站	64,中村站 
4311,上屋站	64,中村站 
4310,上屋站	64,中村站 
4307,上涂屋西二街站	64,中村站 
4296,上社站	64,中村站 
4295,上社站	64,中村站 
4294,上社牌坊总站	64,中村站 
4293,上社口岗新大街站	64,中村站 
4292,上社口岗新大街站	64,中村站 
4291,上社口岗大街站	64,中村站 
4290,上社口岗大街站	64,中村站 
4289,上社东升大街站	64,中村站 
4288,上社东升大街站	64,中村站 
4287,上埔庄路口站	64,中村站 
4286,上埔庄路口站	64,中村站 
10691,黄鹤路(广州市残疾人体育运动中心)总站	64,中村站 
8313,岗埔街站	64,中村站 
10162,江新路站	64,中村站 
7798,金州新邨站	64,中村站 
7797,长江路(广东省第二工人医院)总站	64,中村站 
7550,潭村牌坊站	64,中村站 
7093,钟升东路站	64,中村站 
10225,大麦庄站	64,中村站 
6753,新和村站	64,中村站 
3621,南岗西路南站	64,中村站 
3620,南岗码头总站	64,中村站 
3616,南岗沧头站	64,中村站 
9113,锦绣新天地站	64,中村站 
9108,公汽总站	64,中村站 
9106,岗丰村站	64,中村站 
9104,永和中队站	64,中村站 
8616,龙古村站	64,中村站 
8600,南沙村站	64,中村站 
8576,石楼碧桂园站	64,中村站 
7468,同宝路站	64,中村站 
7466,白山村居委站	64,中村站 
10982,西丽小学站	64,中村站 
7094,马沥村站	64,中村站 
6774,纲领村站	64,中村站 
3857,平沙南街站	64,中村站 
3856,平沙南街站	64,中村站 
3853,平沙公园站	64,中村站 
3852,平沙公园站	64,中村站 
3848,平沙(农贸市场)总站	64,中村站 
3842,彭西大街站	64,中村站 
3840,彭上东街站	64,中村站 
9240,南浦桥南沿沙路站	64,中村站 
9102,创星厂站	64,中村站 
8539,兴太三路站	64,中村站 
8309,沧联二路站	64,中村站 
4260,山下街站	64,中村站 
3634,南海神庙站	64,中村站 
10632,莲塘村总站	64,中村站 
9350,云祥路站	64,中村站 
9247,西乡二路路口站	64,中村站 
9173,地铁坦尾站	64,中村站 
8635,大岗中心小学站	64,中村站 
8626,放马村站	64,中村站 
8602,东隆村站	64,中村站 
8580,蒲岗路口站	64,中村站 
8009,石沥村口站	64,中村站 
10213,罗岗市场站	64,中村站 
10123,福龙路站	64,中村站 
9933,陈家祠站3	64,中村站 
6617,石西路口站	64,中村站 
3633,南海神庙站	64,中村站 
10875,福涌站	64,中村站 
10676,沙太南路总站	64,中村站 
10411,大沙坪站	64,中村站 
9112,凯旋门站	64,中村站 
8637,阳光城市广场站	64,中村站 
8193,凤尾村(佛公路)总站	64,中村站 
10111,埔南路延长线中站	64,中村站 
7554,槎潭路总站	64,中村站 
7115,长洲路口(黄埔军校)站	64,中村站 
6769,红旗中心(博罗庄)站	64,中村站 
9445,师大暨大站1	64,中村站 
9134,新好景站	64,中村站 
5563,江海大道中(赤岗)总站	64,中村站 
5549,江东村站	64,中村站 
5548,江东村站	64,中村站 
5541,江贝村站	64,中村站 
5539,江贝村运动场站	64,中村站 
5532,建设二马路站	64,中村站 
5513,嘉禾地铁站总站2	64,中村站 
5509,嘉禾八一科技园站	64,中村站 
5502,加石路中站	64,中村站 
5501,加石路中站	64,中村站 
5500,加石路口站	64,中村站 
5499,加石路口站	64,中村站 
5498,加石路(七星岗路口)站	64,中村站 
5497,加石路(七星岗路口)站	64,中村站 
5496,加石路(罗岗村)站	64,中村站 
5495,加石路(罗岗村)站	64,中村站 
10112,埔南路延长线中站	64,中村站 
10109,天蕴路站	64,中村站 
8188,新南村站	64,中村站 
10731,永盛路站	64,中村站 
10725,竹山村站	64,中村站 
10722,棠下路口站	64,中村站 
10718,下佰坑村口站	64,中村站 
10715,佛塱路口站	64,中村站 
10712,庄埔路中站	64,中村站 
10755,南岭桥头南街口站	64,中村站 
10751,南岭工业区南路东站	64,中村站 
10748,长湴工业一路站	64,中村站 
10744,坑背工业街口站	64,中村站 
10741,广东警官学院站	64,中村站 
10738,永平八一路站	64,中村站 
8638,岭东村站	64,中村站 
8625,增沙村站	64,中村站 
10405,花山第二工业区站	64,中村站 
8579,利联仓行站	64,中村站 
8577,茭塘西站	64,中村站 
8308,沧头桥站	64,中村站 
8306,埔北路站	64,中村站 
8299,诚联公园站	64,中村站 
7225,寮采村口站	64,中村站 
3588,南二路站	64,中村站 
3564,南安村站	64,中村站 
3563,沐陂路(彩釉砖厂)总站	64,中村站 
10696,江夏东一路站	64,中村站 
9339,迳下村总站	64,中村站 
9109,新塘职中站	64,中村站 
9100,新庄二路(新安路口)站	64,中村站 
10410,正迳站	64,中村站 
9651,新滘东路(龙潭村)总站	64,中村站 
10159,蚌湖路站	64,中村站 
7542,槎龙村生活区站	64,中村站 
10125,钟落潭总站	64,中村站 
4018,人和村站	64,中村站 
3959,桥中南路站	64,中村站 
3954,桥西路口站	64,中村站 
3927,旗出村站	64,中村站 
11309,海傍桥站	64,中村站 
11308,富怡苑站	64,中村站 
10687,鹤泰路东站	64,中村站 
8778,怡发拉链厂站	64,中村站 
8777,官坦村站	64,中村站 
8314,重岗村委站	64,中村站 
8296,沧联北区站	64,中村站 
7640,万寿路站总站	64,中村站 
7172,矮岗村委站	64,中村站 
10122,红旗路站	64,中村站 
10108,天蕴路站	64,中村站 
10689,鹤泰路西站	64,中村站 
7454,长红小学站	64,中村站 
7170,西成路站	64,中村站 
6750,黎家塘村站	64,中村站 
3598,南方村委站	64,中村站 
10754,南岭工业区中路站	64,中村站 
10749,南岭工业区五横路口站	64,中村站 
10745,坑背工业街站	64,中村站 
10739,永平八一路北站	64,中村站 
10631,九太路站	64,中村站 
10626,石溪东路站	64,中村站 
9135,顺欣花园站	64,中村站 
10911,康裕西苑站	64,中村站 
10688,鹤泰路中站	64,中村站 
10634,九佛二中北门站	64,中村站 
10282,东圃大马路站	64,中村站 
10215,罗岗村委站	64,中村站 
10212,罗岗市场站	64,中村站 
11141,凤凰四路站	64,中村站 
10128,香雪八路南站	64,中村站 
9452,师大暨大站1	64,中村站 
9986,丹山村(西环路)站	64,中村站 
9243,东乡水闸站	64,中村站 
6959,海布站	64,中村站 
6949,明华市场站	64,中村站 
6598,井岗大道南街口站	64,中村站 
3832,培红小学站	64,中村站 
3824,潘屋站	64,中村站 
3823,潘屋站	64,中村站 
3788,牛牯潭站	64,中村站 
3783,内环西路站1	64,中村站 
3766,南洲北(好又多)总站	64,中村站 
3748,南园花园大街站	64,中村站 
3747,南园花园大街站	64,中村站 
3745,南燕路站	64,中村站 
6385,同和总站	64,中村站 
6600,雄丰路口站	64,中村站 
10756,南岭村委站	64,中村站 
10753,南岭工业区四横路站	64,中村站 
10752,南岭工业区南路站	64,中村站 
10750,南岭工业区八横路站	64,中村站 
10746,长湴街站	64,中村站 
10743,地糖街尾站	64,中村站 
10742,武警广州指挥学院正门站	64,中村站 
10737,嘉乐苑站	64,中村站 
10736,嘉乐苑站	64,中村站 
10733,永华路站	64,中村站 
10732,永盛路站	64,中村站 
10730,永华路站	64,中村站 
10729,华峰寺站	64,中村站 
10727,棠下路口站	64,中村站 
10726,金水里村口站	64,中村站 
10724,竹山村站	64,中村站 
10723,金水里村口站	64,中村站 
10721,凤凰下街站	64,中村站 
10720,建设新街站	64,中村站 
10719,佛塱路口站	64,中村站 
10717,上佰坑总站	64,中村站 
10716,下佰坑村口站	64,中村站 
10714,建设新街站	64,中村站 
10713,凤凰下街站	64,中村站 
10711,埔心村总站	64,中村站 
10710,庄埔路中站	64,中村站 
10685,地铁江夏站总站	64,中村站 
10655,石岗西基街站	64,中村站 
10633,九佛二中北门站	64,中村站 
8779,锦兴染厂站	64,中村站 
8315,新村一巷站	64,中村站 
8243,伴河路站	64,中村站 
8204,七星庄站	64,中村站 
9816,木摾水库站	64,中村站 
6757,白土村站	64,中村站 
8624,大岗中船基地站	64,中村站 
10344,盘古中路站	64,中村站 
8780,励业染厂站	64,中村站 
10124,福龙路站	64,中村站 
10661,南洲北路(好又多)站	64,中村站 
7541,槎溪大道站	64,中村站 
3739,南翔二路站	64,中村站 
3734,南湾站	64,中村站 
3733,南湾站	64,中村站 
3727,南田坊站	64,中村站 
10690,黄鹤路口站	64,中村站 
10645,东二路(国际会议中心)	64,中村站 
10630,九太路站	64,中村站 
9244,东乡村站	64,中村站 
9241,水厂路口站	64,中村站 
9187,凤凰城路口站	64,中村站 
10345,龙泉路口站	64,中村站 
8552,岗尾站	64,中村站 
8405,果园村站	64,中村站 
7396,莘田工业区站	64,中村站 
7256,同康路总站	64,中村站 
6749,长沙浦村站	64,中村站 
3715,南社站	64,中村站 
3711,南岗西路南站	64,中村站 
3710,南山公园站	64,中村站 
3709,南山公园站	64,中村站 
9347,倚绿山庄站	64,中村站 
10774,永平八一路站	64,中村站 
10773,永平八一路北站	64,中村站 
11215,东泰工业区站	64,中村站 
7097,仲恺农业工程学院北门站	64,中村站 
7095,广东机电技术学院	64,中村站 
7056,蚌湖路口站	64,中村站 
11213,凌边六队站	64,中村站 
6902,田心大路口站	64,中村站 
11211,木棉脚站	64,中村站 
11207,榄塘村委站	64,中村站 
4115,三角亭站	64,中村站 
4104,三保工业区站	64,中村站 
11142,凤凰三路站	64,中村站 
10693,鹤泰路西站	64,中村站 
10635,山龙村委站	64,中村站 
10893,环城西路站	64,中村站 
10652,镇龙旧政府站	64,中村站 
9291,田心村口站	64,中村站 
9111,太阳城站	64,中村站 
9107,长岗村站	64,中村站 
10048,长平村站	64,中村站 
9257,南浦综合市场站	64,中村站 
9110,港口大道北站	64,中村站 
11057,鱼窝头车站站	64,中村站 
8321,岗埔街站	64,中村站 
8319,新村一巷站	64,中村站 
7805,中二横路西站	64,中村站 
8302,云埔二路站	64,中村站 
10409,席草塘站	64,中村站 
10404,莲塘市场站	64,中村站 
8278,光谱东路站	64,中村站 
10339,太子广场站	64,中村站 
9519,南沙牌坊站	64,中村站 
5763,金宇花园总站	64,中村站 
5758,金友街站	64,中村站 
8575,莲花山庄站	64,中村站 
8551,横沥中街口站	64,中村站 
8403,大心田村站	64,中村站 
8371,黄埔体育馆南门站	64,中村站 
8241,果园一路站	64,中村站 
9944,东平(横岗)总站	64,中村站 
7804,中二横路西站	64,中村站 
7553,潭村综合市场站	64,中村站 
9103,永和医院站	64,中村站 
10133,观达路中站	64,中村站 
6595,井岗大道北街站	64,中村站 
4089,瑞和路站	64,中村站 
4087,瑞和路南站	64,中村站 
4082,瑞海市场站	64,中村站 
4080,瑞海路口站	64,中村站 
4075,瑞宝乡站	64,中村站 
11196,恒升工业园站	64,中村站 
11195,区公汽东门站	64,中村站 
11192,海涌路站	64,中村站 
11190,富庭花园站	64,中村站 
11188,沙涌村(富怡路)站	64,中村站 
11187,茶东东村站	64,中村站 
11182,新洲村委站	64,中村站 
8316,驳塘街站	64,中村站 
8267,新桂路南站	64,中村站 
8191,凤尾村委站	64,中村站 
4057,榕村站	64,中村站 
11336,柏堂牌坊站	64,中村站 
11332,市桥街计生办站	64,中村站 
11331,东兴路口站	64,中村站 
11330,茶东村站	64,中村站 
10871,福龙工业区站	64,中村站 
10695,鹤泰路东站	64,中村站 
10686,江夏东一路站	64,中村站 
7960,护林路中站	64,中村站 
7794,云骏路站	64,中村站 
9746,北站路站	64,中村站 
6952,纳海皮具园站	64,中村站 
6946,杨屋路口站	64,中村站 
9444,岗顶站1	64,中村站 
3666,南三路南站	64,中村站 
3656,南宁小区站	64,中村站 
10440,杨二村站	64,中村站 
10408,花城站	64,中村站 
10407,石灰场站	64,中村站 
8515,马务大街站	64,中村站 
7809,长平村口站	64,中村站 
6917,玉岩路南站	64,中村站 
10439,北兴供电所站	64,中村站 
8014,知识城南站	64,中村站 
6589,罗溪村委站	64,中村站 
5835,九龙镇新市场站	64,中村站 
5834,九龙镇新市场站	64,中村站 
5833,九龙二小九楼分校站	64,中村站 
8781,东导村委站	64,中村站 
8640,潭洲医院站	64,中村站 
8641,上村站	64,中村站 
8623,新联一村站	64,中村站 
8601,中埠村站	64,中村站 
8590,大岭村龙漖路口站	64,中村站 
8563,柏兴中路站	64,中村站 
8549,太成路站	64,中村站 
8537,天麓湖社区站	64,中村站 
8519,环滘旧桥头站	64,中村站 
8404,大心田村站	64,中村站 
8287,生物研究院站	64,中村站 
7991,长龙村西站	64,中村站 
7793,恒达路站	64,中村站 
7732,官桥牌坊站	64,中村站 
10403,宝田加油站	64,中村站 
10340,阳光路站	64,中村站 
10337,团结路口站	64,中村站 
10267,园坛岭路站	64,中村站 
9133,白江村站	64,中村站 
10056,星岛环南路中站	64,中村站 
9661,新丰路中(禾丰新村)站	64,中村站 
8407,龙江村总站	64,中村站 
8275,罗坎村站	64,中村站 
11219,茶东小学站	64,中村站 
11217,丰达电机厂站	64,中村站 
5825,九佛医院站	64,中村站 
5824,九佛二中站	64,中村站 
5823,九佛二中站	64,中村站 
8550,横沥北街口站	64,中村站 
8406,果园村站	64,中村站 
8401,边谭社站	64,中村站 
7897,华峰路(红旗村)站	64,中村站 
10214,罗岗村委站	64,中村站 
7557,潭村文化广场站	64,中村站 
10059,星汉大道北站	64,中村站 
6773,纲领南路站	64,中村站 
6619,杨山村委站	64,中村站 
5818,迳头三社站	64,中村站 
5817,迳头三社站	64,中村站 
5816,迳头六社站	64,中村站 
5815,迳头六社站	64,中村站 
5814,迳头九社总站	64,中村站 
5813,迳头二小分校站	64,中村站 
5812,迳头二小分校站	64,中村站 
5811,迳头二社站	64,中村站 
5810,迳头二社站	64,中村站 
5803,景泰直街北站	64,中村站 
8402,边谭社站	64,中村站 
8310,沧联北区站	64,中村站 
8269,罗坎村站	64,中村站 
8242,伴河路南站	64,中村站 
8194,凤尾路站	64,中村站 
11355,易发步行街站	64,中村站 
7902,甘竹村站	64,中村站 
7780,双井村口站	64,中村站 
11174,地铁海傍站总站	64,中村站 
11045,中教村站	64,中村站 
6909,萝峰小学站	64,中村站 
6759,广陈路站	64,中村站 
6636,小塘北路站	64,中村站 
6629,蓼江村北站	64,中村站 
5841,九太路口站	64,中村站 
8723,中成路口站	64,中村站 
8497,向西大道口站	64,中村站 
10905,解放路站	64,中村站 
10864,番安教考场站	64,中村站 
7808,长平村口站	64,中村站 
7765,瑞和路北站	64,中村站 
7750,新墩大道站	64,中村站 
10272,北村(北太路)站	64,中村站 
7317,两龙市场站	64,中村站 
7222,人和华盛南路站	64,中村站 
10639,东兴市场站	64,中村站 
6728,白沙商贸街站	64,中村站 
6686,南村公园站	64,中村站 
8711,亭角大桥东站	64,中村站 
8177,潭洲市场站	64,中村站 
7792,天生路站	64,中村站 
7556,南新大街口站	64,中村站 
6772,竹二村站	64,中村站 
6620,鹤岗村站	64,中村站 
6596,井岗村委站	64,中村站 
9659,新丰路(布岭村)站	64,中村站 
5777,锦城花园(东风东)总站②	64,中村站 
5766,金洲北路站	64,中村站 
3890,七十三中学站	64,中村站 
10879,公安基地站	64,中村站 
9453,岗顶站2	64,中村站 
10335,横坑迳站	64,中村站 
9098,铁路边站	64,中村站 
10129,香雪八路中站	64,中村站 
